,Tweet,Anger,Disgust,Fear,Joy,Sadness,Surprise,Trust,Anticipation
0,Tweet content,0.016165007,0.00072501344,0.047750305,0.51593304,0.018220354,0.038189005,0.34857062,0.014446562
1,Why American Airlines Group Inc AAL Novo Nordisk NVO Synchrony Financial SYF Are 3 of Today’s Worst Stocks,0.2413502,0.054216627,0.06533708,0.07653185,0.31149983,0.058589593,0.17957968,0.012895151
2,Yesterday s top FTSE100 fallers Anglo American AAL Antofagasta ANTO Sky SKY Berkeley BKG and BHP Billiton BLT,0.06074816,0.31373522,0.23769185,0.010208085,0.04586762,0.14292923,0.1862332,0.0025866658
3,SA QuickIdeas 5 Large Cap Stocks With The Lowest Enterprise Multiples AAL DAL HPQ TTM UAL VLO,0.008486572,0.0035431383,0.07369713,0.18023047,0.010312721,0.20216073,0.5102898,0.011279499
4,JPMorgan Chase Co Reiterates Underweight Rating for Anglo American plc AAL,0.0038203015,0.0026299676,0.019224605,0.16585809,0.025931582,0.51651573,0.24222803,0.023791619
5,DAL AAL 5 Large Cap Stocks With The Lowest Enterprise Multiples,0.0041806293,0.0023023535,0.02028822,0.10383493,0.011159875,0.098202914,0.755602,0.0044290572
6,JPMorgan Chase Co Reiterates Underweight Rating for Anglo American plc AAL,0.0038203015,0.0026299676,0.019224605,0.16585809,0.025931582,0.51651573,0.24222803,0.023791619
7,RT Insiders Now Seeing Red With AAL At New 52 Week Low stocks,0.015062154,0.008064658,0.046182036,0.497574,0.111543946,0.06633086,0.037503414,0.21773887
8,AAL With V,0.10202776,0.009517577,0.18936989,0.12807061,0.042674635,0.061283972,0.45182022,0.01523543
9,AAL American Airlines To Remain In Bear Grip by Economics Fanatic,0.0128669245,0.026021317,0.1233836,0.094278336,0.07347707,0.53413105,0.11705333,0.018788354
10,Biggest losers today large caps SYF 13 11 COF 6 62 BSMX 5 83 LUV 5 41 BBDO 5 01 NVO 4 75 AAL 4 53 T I 4 51,0.011317516,0.0052465796,0.02802865,0.09002134,0.068921745,0.46480837,0.31002128,0.0216344
11,AAL American Airlines Group Inc NASDAQ AAL dropped about 5 6 on Tuesday to post a new 52 week low of 30 02,0.03956664,0.019244963,0.045552175,0.24481459,0.14722192,0.21126577,0.08014825,0.21218577
12,TARO Day High See Here gt TARO AAL CENX invest,0.009474914,0.0016791824,0.03184697,0.37431216,0.019311441,0.20275776,0.2930198,0.06759777
13,AAL top ten OTM 7 15 CALLS by most OPEN INT DWNLD Options Analytics stocks options,0.03812499,0.00968016,0.04872637,0.16332799,0.09725962,0.14681815,0.3787939,0.11726889
14,airlines breaking down further today aal ual jblu dal very ugly charts,0.017986067,0.0032842385,0.017661294,0.12914628,0.061821006,0.23565558,0.5244966,0.009949014
15,RT Airline stocks crushed again This week UAL is down 8 7 LUV 8 6 AAL 8 4 ALK 8 1 DAL 7 JBLU 7 3 S…,0.043312177,0.011837825,0.03407667,0.32225388,0.09213064,0.22961152,0.18004864,0.08672863
16,We calculated 21 day Expected Return of AAL for you 1 71,0.0034746751,0.00083237025,0.011970006,0.41858461,0.039667085,0.31013057,0.19207807,0.023262624
17,Insiders Now Seeing Red With AAL At New 52 Week Low stocks,0.017038412,0.014089303,0.06616464,0.4817834,0.13087936,0.086666994,0.046042513,0.15733545
18,AmericanAirlines Cabin Chaos Triggers Turbulence Planning Overhaul Read more AAL,0.010893459,0.030312914,0.111065425,0.06570352,0.029345142,0.46107846,0.21113114,0.080469936
19,Explore fundamental numbers and pros and cons for AAL,0.009594068,0.003838481,0.020860512,0.27766687,0.03217071,0.3694069,0.23234731,0.054115143
20,Expansion BD IMGN COF LYG STNG LUV ALLY SMFG ING MPC ARCC LYB AEG UAL AAL RDN UBS BBVA,0.04791965,0.028716194,0.12896416,0.045703676,0.025886498,0.17593175,0.52810305,0.018775012
21,AAL big time shorts and options traders seem controlling the trading market,0.029815517,0.015248592,0.27465463,0.052572962,0.06992656,0.16718276,0.26064357,0.12995532
22,Wondering about risks of AAL The 21 day volatility is 7 79,0.021117186,0.009738633,0.70222795,0.03892618,0.015840126,0.0405812,0.09639713,0.07517159
23,Airlines continue to look PUTRID Lot of turbulence in the Bigs UAL AAL Like short But prefer selling bounces,0.02993242,0.122615695,0.13132031,0.02723715,0.06805403,0.18102784,0.4334545,0.00635799
24,AAL 52Wk Low See Here gt AAL RLYP AKAO invest,0.010894853,0.0051146634,0.09989138,0.045165148,0.010066003,0.14917699,0.6435468,0.036144074
25,Jeeze Ugly day takes some airline names down to 52 week lows AAL JBLU UAL SAVE,0.04627283,0.0057979575,0.027600547,0.12994006,0.20387073,0.109084904,0.42958444,0.04784846
26,JETS JBLU UAL DAL AAL LUV HA Airlines totally broken posted this heads up yesterday,0.04029837,0.029786106,0.032354027,0.15301132,0.13224654,0.33783254,0.2467619,0.027709186
27,almost all airline stocks are doing poorly Ticket price going down Other factors JETS AAL DAL LUV,0.01105983,0.044966683,0.023739543,0.013189213,0.061611082,0.18338549,0.6490123,0.0130358655
28,AAL long the June 24 31 32 33 call butterfly for 0 16 net debit OTM shot w good r r for how oversold airlines are UAL JBLU DAL LUV,0.023275642,0.012189011,0.043928675,0.045889817,0.023461727,0.1252874,0.7155041,0.010463725
29,RT Airline stocks crushed again This week UAL is down 8 7 LUV 8 6 AAL 8 4 ALK 8 1 DAL 7 JBLU 7 3 S…,0.043312177,0.011837825,0.03407667,0.32225388,0.09213064,0.22961152,0.18004864,0.08672863
30,RT StockConsultant AAL American Airlines stock w confirmed breakdown below 30 55 volume 38 normal … …,0.017860632,0.025948605,0.1074862,0.021181222,0.020864522,0.2870503,0.5068697,0.012738916
31,RT Airline stocks crushed again This week UAL is down 8 7 LUV 8 6 AAL 8 4 ALK 8 1 DAL 7 JBLU 7 3 S…,0.043312177,0.011837825,0.03407667,0.32225388,0.09213064,0.22961152,0.18004864,0.08672863
